operator_id,permit_id,account_holder,installation_name,regulator,account_status,first_year,last_year,nace_code,nace_description,regulated_activity,cps_scope,cps_scope_rule,recorded_emissions_2021,recorded_emissions_2022,recorded_emissions_2023,recorded_emissions_2024,surrender_status_2021,surrender_status_2022,surrender_status_2023,surrender_status_2024,alloc_entitlement_2025,alloc_delivered_2025,alloc_entitlement_2026,alloc_delivered_2026
1000000,UK-E-IN-13705,AAK International,AAK (UK),EA,OPEN,2021,,1041,Manufacture of oils and fats,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,22319.0,21684.0,18190.0,17507.0,A,A,A,A,8930,8931,8930,8930
1000001,UK-E-IN-11420,AB InBev UK Limited,Samlesbury Brewery,EA,OPEN,2021,,1105,Manufacture of beer,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,15743.0,16533.0,13328.0,13304.0,A,A,A,A,2853,2853,2853,2853
1000002,UK-E-IN-13797,Advanced Proteins Unltd,Bones Lane Factory,EA,OPEN,2021,,1041,Manufacture of oils and fats,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,44207.0,48530.0,43355.0,42962.0,A,A,A,A,11618,11618,11618,11618
1000003,UK-E-IN-12700,Aggregate Industries UK Limited,Bardon Hill,EA,OPEN,2021,,2399,Manufacture of other non-metallic mineral products n.e.c.,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,17811.0,16492.0,17520.0,16962.0,A,A,A,A,9661,9661,9661,9661
1000004,UK-E-IN-13694,Alderley Park Limited,Alderley Park Energy Centre,EA,OPEN,2021,,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,CPS_CHP_FLAG,R4_chp_nace3530_combustion,14169.0,19902.0,19385.0,16802.0,A,A,A,A,1521,1521,1521,1521
1000005,UK-E-IN-13553,Alkane Energy CM limited,Staveley Energy Park,EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,3688.0,7304.0,2767.0,1252.0,A,A,A,A,0,0,0,0
1000006,UK-E-IN-12680,Special Melted Products Limited,Special Melted Products Limited,EA,OPEN,2021,,2445,Other non-ferrous metal production,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,7447.0,10711.0,10366.0,11933.0,A,A,A,A,9230,9230,9230,9230
1000007,UK-E-IN-11533,Verallia UK Limited,Verallia UK Limited - Leeds,EA,OPEN,2021,,2313,Manufacture of hollow glass,MANUFACTURE_OF_GLASS,CPS_NOT_APPLICABLE,R7_process_activity,65539.0,50449.0,53387.0,36868.0,A,A,A,A,34843,34843,34843,34843
1000008,UK-E-IN-11693,Verallia UK Limited,Allied Glass Containers Ltd - Knottingley,EA,OPEN,2021,,2313,Manufacture of hollow glass,MANUFACTURE_OF_GLASS,CPS_NOT_APPLICABLE,R7_process_activity,56583.0,61227.0,51336.0,39061.0,A,A,A,A,26121,26121,26121,26121
1000009,UK-E-IN-11779,Archer Daniels Midland Erith Ltd,Archer Daniels Midland Erith Ltd,EA,OPEN,2021,,1041,Manufacture of oils and fats,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,67329.0,64488.0,69596.0,67402.0,A,A,A,A,24797,24797,35152,35152
1000010,UK-E-IN-12608,Arconic  Manufacturing (GB) Limited,Arconic  Manufacturing (GB) Limited,EA,OPEN,2021,,2442,Aluminium production,PRODUCTION_OF_SECONDARY_ALUMINIUM,CPS_NOT_APPLICABLE,R7_process_activity,26523.0,33590.0,27702.0,32496.0,A,A,A,A,24132,24132,24132,24132
1000011,UK-E-IN-11669,Ardagh Glass Limited,Ardagh Glass - Headlands,EA,OPEN,2021,,2313,Manufacture of hollow glass,MANUFACTURE_OF_GLASS,CPS_NOT_APPLICABLE,R7_process_activity,69095.0,68218.0,55117.0,42021.0,A,A,A,A,30842,30842,30842,30842
1000012,UK-E-IN-11902,Ardagh Glass Limited,Ardagh Glass Ltd,EA,OPEN,2021,,2313,Manufacture of hollow glass,MANUFACTURE_OF_GLASS,CPS_NOT_APPLICABLE,R7_process_activity,145557.0,155293.0,140247.0,125076.0,A,A,A,A,72718,72718,72718,72718
1000013,UK-E-IN-11670,Ardagh Glass Limited,Ardagh Glass - Wheatley,EA,OPEN,2021,,2313,Manufacture of hollow glass,MANUFACTURE_OF_GLASS,CPS_NOT_APPLICABLE,R7_process_activity,115442.0,121461.0,95735.0,116177.0,A,A,A,A,62576,62576,62576,62576
1000014,UK-E-IN-13768,ARL 011 Limited (In Administration),CHESTERFIELD ROAD,EA,OPEN,2021,2021,,,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,8438.0,,,,C,B,B,B,0,0,0,0
1000015,UK-E-IN-13534,Arla Foods Limited,Arla Foods Westbury,EA,OPEN,2021,,1051,Operation of dairies and cheese making,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,21960.0,18928.0,20274.0,20070.0,A,A,A,A,9373,9373,9373,9373
1000016,UK-E-IN-13552,Ashford Power Ltd,Ashford Power,EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,18248.0,19312.0,11556.0,11260.0,A,A,A,A,0,0,0,0
1000017,UK-E-IN-11698,AstraZeneca UK Limited,AstraZeneca UK – Macclesfield,EA,OPEN,2021,,2110,Manufacture of basic pharmaceutical products,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,52938.0,41089.0,31870.0,21344.0,A,A,A,A,13902,13902,17811,17811
1000018,UK-E-IN-11574,AWE Plc,Aldermaston Combustion,EA,OPEN,2021,,8422,Defence activities ,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,28680.0,25663.0,26605.0,27032.0,A,A,A,A,5642,5642,5642,5642
1000019,UK-E-IN-11699,BAE Systems Marine Limited,BAE Systems - Barrow,EA,OPEN,2021,,3011,Building of ships and floating structures,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,16678.0,8603.0,8120.0,8148.0,A,A,A,A,1586,1586,1586,1586
1000020,UK-E-IN-14084,KBS Maritime Limited,Boilers for District steam and HW aka PNB Energy Centre,EA,OPEN,2021,,8422,Defence activities ,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,43721.0,34061.0,22122.0,26486.0,A,A,A,A,2434,3174,2434,2434
1000021,UK-E-IN-13753,Bancroft Generation Limited,Bancroft,EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,20146.0,18148.0,9895.0,7818.0,A,A,A,A,0,0,0,0
1000022,UK-E-IN-11742,Basell Polyolefins UK Limited,Basell Polyolefins UK Limited - Carrington,EA,OPEN,2021,,2016,Manufacture of plastics in primary forms,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,20453.0,17953.0,20268.0,21723.0,A,A,A,A,13107,13107,13107,13107
1000023,UK-E-IN-13789,Baxter Healthcare Limited,Baxter Healthcare Limited Thetford,EA,OPEN,2021,,2110,Manufacture of basic pharmaceutical products,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,15350.0,16076.0,16938.0,20483.0,A,A,A,A,0,0,0,0
1000024,UK-E-IN-11582,Beatson Clark Limited,Beatson Clark plc - Rotherham,EA,OPEN,2021,,2313,Manufacture of hollow glass,MANUFACTURE_OF_GLASS,CPS_NOT_APPLICABLE,R7_process_activity,49339.0,49262.0,50175.0,48649.0,A,A,A,A,30889,32890,30889,30889
1000025,UK-E-IN-11587,Bentley Motors Limited,Bentley – Crewe,EA,OPEN,2021,,2910,Manufacture of motor vehicles,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,15595.0,15053.0,12676.0,12530.0,A,A,A,A,2721,3163,2721,2721
1000026,UK-E-IN-14973,Wharfside Power Limited,Elevator Road,EA,OPEN,2021,,3511,Production of electricity,COMBUSTION_OF_FUELS,CPS_COVERED,R5_electricity_combustion,12700.0,8170.0,4652.0,3832.0,A,A,A,A,0,0,0,0
1000027,UK-E-IN-12001,Birmingham District Energy Company Limited,Aston University Energy Centre,EA,CLOSED,2021,2023,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,CPS_CHP_FLAG,R4_chp_nace3530_combustion,7940.0,7776.0,2748.0,,A,A,A,,0,0,0,0
1000028,UK-E-IN-12652,Birmingham District Energy Company Limited,Broadstreet Energy Scheme,EA,OPEN,2021,,3530,Steam and air conditioning supply,COMBUSTION_OF_FUELS,CPS_CHP_FLAG,R4_chp_nace3530_combustion,8788.0,10447.0,9964.0,11022.0,A,A,A,A,902,902,1325,1325
1000029,UK-E-IN-11487,BMW (UK) Manufacturing Limited,BMW (UK) Manufacturing Ltd,EA,OPEN,2021,,2910,Manufacture of motor vehicles,COMBUSTION_OF_FUELS,CPS_NOT_APPLICABLE,R6_industrial_combustion,39484.0,35518.0,36147.0,24623.0,A,A,A,A,6473,6473,6473,6473
1000030,UK-E-IN-12594,BOC Limited,Teesside Hydrogen Plant,EA,OPEN,2021,,2011,Manufacture of industrial gases,PRODUCTION_OF_HYDROGEN_AND_SYNTHESIS_GAS,CPS_NOT_APPLICABLE,R7_process_activity,222339.0,166606.0,158356.0,178554.0,A,A,A,A,110007,110007,110007,110007
